Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"S57","PG151101S11","SW_Cherry_MX_6.25u_PCB",162.025000,-126.830000,0.000000,top
"S58","PG151101S11","SW_Cherry_MX_1.25u_PCB",233.525000,-126.810000,0.000000,top
"S59","PG151101S11","SW_Cherry_MX_1.25u_PCB",257.335000,-126.810000,0.000000,top
"S60","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-50.570000,0.000000,top
"S61","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-69.620000,0.000000,top
"S62","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-88.670000,0.000000,top
"S63","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-107.720000,0.000000,top
"S64","PG151101S11","SW_Cherry_MX_1.00u_PCB",307.165000,-107.720000,0.000000,top
"S65","PG151101S11","SW_Cherry_MX_1.00u_PCB",288.115000,-126.770000,0.000000,top
"S66","PG151101S11","SW_Cherry_MX_1.00u_PCB",307.165000,-126.770000,0.000000,top
"S67","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-126.770000,0.000000,top
