Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"S33","PG151101S11","SW_Cherry_MX_1.00u_PCB",130.965200,-88.670000,0.000000,top
"S34","PG151101S11","SW_Cherry_MX_1.00u_PCB",150.015200,-88.670000,0.000000,top
"S35","PG151101S11","SW_Cherry_MX_1.00u_PCB",169.065200,-88.670000,0.000000,top
"S36","PG151101S11","SW_Cherry_MX_1.00u_PCB",188.115200,-88.670000,0.000000,top
"S37","PG151101S11","SW_Cherry_MX_1.00u_PCB",207.165200,-88.670000,0.000000,top
"S38","PG151101S11","SW_Cherry_MX_1.00u_PCB",226.215200,-88.670000,0.000000,top
"S39","PG151101S11","SW_Cherry_MX_1.00u_PCB",245.265200,-88.670000,0.000000,top
"S40","PG151101S11","SW_Cherry_MX_1.00u_PCB",264.315200,-88.670000,0.000000,top
"S41","PG151101S11","SW_Cherry_MX_2.25u_PCB",295.252400,-88.680200,0.000000,top
"S42","PG151101S11","SW_Cherry_MX_2.25u_PCB",52.390000,-107.720000,0.000000,top
"S43","PG151101S11","SW_Cherry_MX_1.00u_PCB",83.391000,-107.720000,0.000000,top
"S44","PG151101S11","SW_Cherry_MX_1.00u_PCB",102.441000,-107.720000,0.000000,top
"S45","PG151101S11","SW_Cherry_MX_1.00u_PCB",121.491000,-107.720000,0.000000,top
"S46","PG151101S11","SW_Cherry_MX_1.00u_PCB",140.541000,-107.720000,0.000000,top
"S47","PG151101S11","SW_Cherry_MX_1.00u_PCB",159.591000,-107.720000,0.000000,top
"S48","PG151101S11","SW_Cherry_MX_1.00u_PCB",178.641000,-107.720000,0.000000,top
"S49","PG151101S11","SW_Cherry_MX_1.00u_PCB",197.691000,-107.720000,0.000000,top
"S50","PG151101S11","SW_Cherry_MX_1.00u_PCB",216.741000,-107.720000,0.000000,top
"S51","PG151101S11","SW_Cherry_MX_1.00u_PCB",235.791000,-107.720000,0.000000,top
"S52","PG151101S11","SW_Cherry_MX_1.00u_PCB",254.841000,-107.720000,0.000000,top
"S53","PG151101S11","SW_Cherry_MX_1.75u_PCB",281.003000,-107.720000,0.000000,top
"S54","PG151101S11","SW_Cherry_MX_1.25u_PCB",42.860000,-126.770000,0.000000,top
"S55","PG151101S11","SW_Cherry_MX_1.25u_PCB",66.670000,-126.770000,0.000000,top
"S56","PG151101S11","SW_Cherry_MX_1.25u_PCB",90.510000,-126.770000,0.000000,top
"S57","PG151101S11","SW_Cherry_MX_6.25u_PCB",161.910000,-126.770000,0.000000,top
"S58","PG151101S11","SW_Cherry_MX_1.25u_PCB",233.410000,-126.760000,0.000000,top
"S59","PG151101S11","SW_Cherry_MX_1.25u_PCB",257.200000,-126.760000,0.000000,top
"S60","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.230000,-50.550000,0.000000,top
"S61","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.225000,-69.580000,0.000000,top
"S62","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-88.670000,0.000000,top
"S63","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-107.720000,0.000000,top
"S64","PG151101S11","SW_Cherry_MX_1.00u_PCB",307.165000,-107.720000,0.000000,top
"S65","PG151101S11","SW_Cherry_MX_1.00u_PCB",288.115000,-126.770000,0.000000,top
"S66","PG151101S11","SW_Cherry_MX_1.00u_PCB",307.165000,-126.770000,0.000000,top
"S67","PG151101S11","SW_Cherry_MX_1.00u_PCB",326.215000,-126.770000,0.000000,top
